Sample,Input,Output
0,0,0.202717
1,0.0313242,0.173685
2,0.0625253,0.14397
3,0.0934807,0.11369
4,0.124069,0.0829629
5,0.15417,0.05191
6,0.183665,0.0206531
7,0.212438,-0.0106849
8,0.240377,-0.0419809
9,0.267372,-0.073112
10,0.293316,-0.103956
11,0.318108,-0.134391
12,0.34165,-0.164299
13,0.36385,-0.193561
14,0.38462,-0.222062
15,0.403879,-0.249691
16,0.421552,-0.27634
17,0.437569,-0.301902
18,0.451866,-0.326279
19,0.464388,-0.349373
20,0.475086,-0.371095
21,0.483917,-0.39136
22,0.490848,-0.410086
23,0.495849,-0.427202
24,0.498903,-0.442639
25,0.499997,-0.456337
26,0.499126,-0.468242
27,0.496295,-0.478308
28,0.491513,-0.486495
29,0.484801,-0.49277
30,0.476184,-0.49711
31,0.465697,-0.499497
32,0.453379,-0.499921
33,0.439281,-0.498381
34,0.423457,-0.494883
35,0.405969,-0.489441
36,0.386886,-0.482076
37,0.366284,-0.472817
38,0.344242,-0.461701
39,0.320848,-0.448771
40,0.296193,-0.434077
41,0.270375,-0.417679
42,0.243494,-0.399639
43,0.215657,-0.380029
44,0.186973,-0.358927
45,0.157554,-0.336414
46,0.127516,-0.31258
47,0.0969774,-0.287517
48,0.0660576,-0.261325
49,0.0348782,-0.234107
50,0.00356187,-0.205968
51,-0.0277685,-0.177021
52,-0.0589898,-0.147378
53,-0.0899793,-0.117156
54,-0.120615,-0.0864733
55,-0.150777,-0.0554513
56,-0.180347,-0.0242114
57,-0.209209,0.00712355
58,-0.237248,0.0384305
59,-0.264355,0.0695866
60,-0.290424,0.100469
61,-0.315352,0.130957
62,-0.339041,0.160931
63,-0.361397,0.190272
64,-0.382334,0.218865
65,-0.401769,0.246599
66,-0.419626,0.273364
67,-0.435834,0.299055
68,-0.45033,0.323571
69,-0.463056,0.346816
70,-0.473964,0.368699
71,-0.483009,0.389133
72,-0.490157,0.408038
73,-0.495379,0.42534
74,-0.498655,0.440971
75,-0.499971,0.45487
76,-0.499324,0.466981
77,-0.496715,0.477258
78,-0.492154,0.48566
79,-0.48566,0.492154
80,-0.477258,0.496715
81,-0.466981,0.499324
82,-0.45487,0.499971
83,-0.440971,0.498655
84,-0.42534,0.495379
85,-0.408038,0.490157
86,-0.389133,0.483009
87,-0.368699,0.473964
88,-0.346816,0.463056
89,-0.323571,0.45033
90,-0.299055,0.435834
91,-0.273364,0.419626
92,-0.246599,0.401769
93,-0.218865,0.382334
94,-0.190272,0.361397
95,-0.160931,0.339041
96,-0.130957,0.315352
97,-0.100469,0.290424
98,-0.0695866,0.264355
99,-0.0384305,0.237248
100,-0.00712355,0.209209
101,0.0242114,0.180347
102,0.0554513,0.150777
103,0.0864733,0.120615
104,0.117156,0.0899793
105,0.147378,0.0589898
106,0.177021,0.0277685
107,0.205968,-0.00356187
108,0.234107,-0.0348782
109,0.261325,-0.0660576
110,0.287517,-0.0969774
111,0.31258,-0.127516
112,0.336414,-0.157554
113,0.358927,-0.186973
114,0.380029,-0.215657
115,0.399639,-0.243494
116,0.417679,-0.270375
117,0.434077,-0.296193
118,0.448771,-0.320848
119,0.461701,-0.344242
120,0.472817,-0.366284
121,0.482076,-0.386886
122,0.489441,-0.405969
123,0.494883,-0.423457
124,0.498381,-0.439281
125,0.499921,-0.453379
126,0.499497,-0.465697
127,0.49711,-0.476184
128,0.49277,-0.484801
129,0.486495,-0.491513
130,0.478308,-0.496295
131,0.468242,-0.499126
132,0.456337,-0.499997
133,0.442639,-0.498903
134,0.427202,-0.495849
135,0.410086,-0.490848
136,0.39136,-0.483917
137,0.371095,-0.475086
138,0.349373,-0.464388
139,0.326279,-0.451866
140,0.301902,-0.437569
141,0.27634,-0.421552
142,0.249691,-0.403879
143,0.222062,-0.38462
144,0.193561,-0.36385
145,0.164299,-0.34165
146,0.134391,-0.318108
147,0.103956,-0.293316
148,0.073112,-0.267372
149,0.0419809,-0.240377
150,0.0106849,-0.212438
151,-0.0206531,-0.183665
152,-0.05191,-0.15417
153,-0.0829629,-0.124069
154,-0.11369,-0.0934807
155,-0.14397,-0.0625253
156,-0.173685,-0.0313242
157,-0.202717,4.4112e-15
158,-0.230953,0.0313242
159,-0.258282,0.0625253
160,-0.284596,0.0934807
161,-0.309792,0.124069
162,-0.33377,0.15417
163,-0.356438,0.183665
164,-0.377705,0.212438
165,-0.397488,0.240377
166,-0.41571,0.267372
167,-0.432299,0.293316
168,-0.447189,0.318108
169,-0.460322,0.34165
170,-0.471647,0.36385
171,-0.481119,0.38462
172,-0.4887,0.403879
173,-0.494362,0.421552
174,-0.498082,0.437569
175,-0.499845,0.451866
176,-0.499644,0.464388
177,-0.49748,0.475086
178,-0.493362,0.483917
179,-0.487305,0.490848
180,-0.479334,0.495849
181,-0.46948,0.498903
182,-0.457781,0.499997
183,-0.444284,0.499126
184,-0.429042,0.496295
185,-0.412114,0.491513
186,-0.393566,0.484801
187,-0.373473,0.476184
188,-0.351912,0.465697
189,-0.328969,0.453379
190,-0.304734,0.439281
191,-0.279301,0.423457
192,-0.252771,0.405969
193,-0.225248,0.386886
194,-0.19684,0.366284
195,-0.167659,0.344242
196,-0.137819,0.320848
197,-0.107437,0.296193
198,-0.0766337,0.270375
199,-0.0455291,0.243494
200,-0.0142457,0.215657
201,0.0170938,0.186973
202,0.048366,0.157554
203,0.0794483,0.127516
204,0.110218,0.0969774
205,0.140556,0.0660576
206,0.17034,0.0348782
207,0.199456,0.00356187
208,0.227788,-0.0277685
209,0.255226,-0.0589898
210,0.28166,-0.0899793
211,0.306988,-0.120615
212,0.33111,-0.150777
213,0.353931,-0.180347
214,0.375362,-0.209209
215,0.395318,-0.237248
216,0.41372,-0.264355
217,0.430498,-0.290424
218,0.445584,-0.315352
219,0.45892,-0.339041
220,0.470452,-0.361397
221,0.480137,-0.382334
222,0.487935,-0.401769
223,0.493816,-0.419626
224,0.497757,-0.435834
225,0.499743,-0.45033
226,0.499765,-0.463056
227,0.497824,-0.473964
228,0.493927,-0.483009
229,0.48809,-0.490157
230,0.480335,-0.495379
231,0.470693,-0.498655
232,0.459202,-0.499971
233,0.445907,-0.499324
234,0.43086,-0.496715
235,0.41412,-0.492154
236,0.395753,-0.48566
237,0.375832,-0.477258
238,0.354434,-0.466981
239,0.331643,-0.45487
240,0.30755,-0.440971
241,0.282248,-0.42534
242,0.255838,-0.408038
243,0.228422,-0.389133
244,0.200109,-0.368699
245,0.17101,-0.346816
246,0.141239,-0.323571
247,0.110913,-0.299055
248,0.0801516,-0.273364
249,0.049075,-0.246599
250,0.0178057,-0.218865
251,-0.0135336,-0.190272
252,-0.0448197,-0.160931
253,-0.0759297,-0.130957
254,-0.106741,-0.100469
255,-0.137134,-0.0695866
256,-0.166987,-0.0384305
257,-0.196185,-0.00712355
258,-0.224612,0.0242114
259,-0.252156,0.0554513
260,-0.27871,0.0864733
261,-0.304169,0.117156
262,-0.328433,0.147378
263,-0.351406,0.177021
264,-0.372999,0.205968
265,-0.393127,0.234107
266,-0.41171,0.261325
267,-0.428675,0.287517
268,-0.443957,0.31258
269,-0.457494,0.336414
270,-0.469234,0.358927
271,-0.479131,0.380029
272,-0.487145,0.399639
273,-0.493245,0.417679
274,-0.497408,0.434077
275,-0.499616,0.448771
276,-0.499862,0.461701
277,-0.498144,0.472817
278,-0.494468,0.482076
279,-0.488851,0.489441
280,-0.481312,0.494883
281,-0.471883,0.498381
282,-0.4606,0.499921
283,-0.447507,0.499497
284,-0.432656,0.49711
285,-0.416105,0.49277
286,-0.39792,0.486495
287,-0.378172,0.478308
288,-0.356937,0.468242
289,-0.334301,0.456337
290,-0.310351,0.442639
291,-0.285181,0.427202
292,-0.258892,0.410086
293,-0.231585,0.39136
294,-0.203368,0.371095
295,-0.174353,0.349373
296,-0.144652,0.326279
297,-0.114383,0.301902
298,-0.0836653,0.27634
299,-0.0526185,0.249691
300,-0.0213649,0.222062
301,0.00997265,0.193561
302,0.041271,0.164299
303,0.0724072,0.134391
304,0.103259,0.103956
305,0.133705,0.073112
306,0.163626,0.0419809
307,0.192904,0.0106849
308,0.221424,-0.0206531
309,0.249074,-0.05191
310,0.275746,-0.0829629
311,0.301334,-0.11369
312,0.325739,-0.14397
313,0.348863,-0.173685
314,0.370618,-0.202717
315,0.390916,-0.230953
316,0.409678,-0.258282
317,0.426831,-0.284596
318,0.442307,-0.309792
319,0.456045,-0.33377
320,0.467992,-0.356438
321,0.4781,-0.377705
322,0.48633,-0.397488
323,0.492649,-0.41571
324,0.497033,-0.432299
325,0.499464,-0.447189
326,0.499933,-0.460322
327,0.498438,-0.471647
328,0.494984,-0.481119
329,0.489586,-0.4887
330,0.482265,-0.494362
331,0.473048,-0.498082
332,0.461974,-0.499845
333,0.449084,-0.499644
334,0.43443,-0.49748
335,0.41807,-0.493362
336,0.400067,-0.487305
337,0.380492,-0.479334
338,0.359422,-0.46948
339,0.336941,-0.457781
340,0.313135,-0.444284
341,0.2881,-0.429042
342,0.261932,-0.412114
343,0.234736,-0.393566
344,0.206617,-0.373473
345,0.177687,-0.351912
346,0.148058,-0.328969
347,0.117848,-0.304734
348,0.0871748,-0.279301
349,0.0561592,-0.252771
350,0.0249229,-0.225248
351,-0.00641124,-0.19684
352,-0.0377202,-0.167659
353,-0.068881,-0.137819
354,-0.0997712,-0.107437
355,-0.130269,-0.0766337
356,-0.160256,-0.0455291
357,-0.189613,-0.0142457
358,-0.218225,0.0170938
359,-0.245979,0.048366
360,-0.272767,0.0794483
361,-0.298484,0.110218
362,-0.323028,0.140556
363,-0.346303,0.17034
364,-0.368217,0.199456
365,-0.388685,0.227788
366,-0.407626,0.255226
367,-0.424965,0.28166
368,-0.440635,0.306988
369,-0.454574,0.33111
370,-0.466726,0.353931
371,-0.477046,0.375362
372,-0.485491,0.395318
373,-0.492028,0.41372
374,-0.496633,0.430498
375,-0.499287,0.445584
376,-0.499979,0.45892
377,-0.498706,0.470452
378,-0.495475,0.480137
379,-0.490297,0.487935
380,-0.483193,0.493816
381,-0.47419,0.497757
382,-0.463325,0.499743
383,-0.450639,0.499765
384,-0.436183,0.497824
385,-0.420013,0.493927
386,-0.402193,0.48809
387,-0.382793,0.480335
388,-0.361889,0.470693
389,-0.339564,0.459202
390,-0.315904,0.445907
391,-0.291004,0.43086
392,-0.26496,0.41412
393,-0.237875,0.395753
394,-0.209855,0.375832
395,-0.181012,0.354434
396,-0.151457,0.331643
397,-0.121307,0.30755
398,-0.0906799,0.282248
399,-0.0596971,0.255838
400,-0.0284797,0.228422
401,0.0028495,0.200109
402,0.0341676,0.17101
403,0.0653514,0.141239
404,0.0962785,0.110913
405,0.126827,0.0801516
406,0.156878,0.049075
407,0.186312,0.0178057
408,0.215014,-0.0135336
409,0.242872,-0.0448197
410,0.269775,-0.0759297
411,0.295619,-0.106741
412,0.320301,-0.137134
413,0.343725,-0.166987
414,0.365798,-0.196185
415,0.386435,-0.224612
416,0.405553,-0.252156
417,0.423078,-0.27871
418,0.43894,-0.304169
419,0.453079,-0.328433
420,0.465437,-0.351406
421,0.475967,-0.372999
422,0.484626,-0.393127
423,0.491382,-0.41171
424,0.496208,-0.428675
425,0.499084,-0.443957
426,0.499999,-0.457494
427,0.49895,-0.469234
428,0.49594,-0.479131
429,0.490983,-0.487145
430,0.484096,-0.493245
431,0.475308,-0.497408
432,0.464652,-0.499616
433,0.452171,-0.499862
