Sample,Input,Output,Diff
0,0,0,0
1,0.0313242,0.0313242,0
2,0.0625253,0.0625253,0
3,0.0934807,0.0934807,0
4,0.124069,0.124069,0
5,0.15417,0.15417,0
6,0.183665,0.183665,0
7,0.212438,0.212438,0
8,0.240377,0.240377,0
9,0.267372,0.267372,0
10,0.293316,0.293316,0
11,0.318108,0.318108,0
12,0.34165,0.34165,0
13,0.36385,0.36385,0
14,0.38462,0.38462,0
15,0.403879,0.403879,0
16,0.421552,0.421552,0
17,0.437569,0.437569,0
18,0.451866,0.451866,0
19,0.464388,0.464388,0
20,0.475086,0.475086,0
21,0.483917,0.483917,0
22,0.490848,0.490848,0
23,0.495849,0.495849,0
24,0.498903,0.498903,0
25,0.499997,0.499997,0
26,0.499126,0.499126,0
27,0.496295,0.496295,0
28,0.491513,0.491513,0
29,0.484801,0.484801,0
30,0.476184,0.476184,0
31,0.465697,0.465697,0
32,0.453379,0.453379,0
33,0.439281,0.439281,0
34,0.423457,0.423457,0
35,0.405969,0.405969,0
36,0.386886,0.386886,0
37,0.366284,0.366284,0
38,0.344242,0.344242,0
39,0.320848,0.320848,0
40,0.296193,0.296193,0
41,0.270375,0.270375,0
42,0.243494,0.243494,0
43,0.215657,0.215657,0
44,0.186973,0.186973,0
45,0.157554,0.157554,0
46,0.127516,0.127516,0
47,0.0969774,0.0969774,0
48,0.0660576,0.0660576,0
49,0.0348782,0.0348782,0
50,0.00356187,0.00356187,0
51,-0.0277685,-0.0277685,0
52,-0.0589898,-0.0589898,0
53,-0.0899793,-0.0899793,0
54,-0.120615,-0.120615,0
55,-0.150777,-0.150777,0
56,-0.180347,-0.180347,0
57,-0.209209,-0.209209,0
58,-0.237248,-0.237248,0
59,-0.264355,-0.264355,0
60,-0.290424,-0.290424,0
61,-0.315352,-0.315352,0
62,-0.339041,-0.339041,0
63,-0.361397,0,0.361397
64,-0.382334,0.0625253,0.44486
65,-0.401769,0.124069,0.525838
66,-0.419626,0.183665,0.603291
67,-0.435834,0.240377,0.676211
68,-0.45033,0.293316,0.743646
69,-0.463056,0.34165,0.804706
70,-0.473964,0.38462,0.858584
71,-0.483009,0.421552,0.904561
72,-0.490157,0.451866,0.942023
73,-0.495379,0.475086,0.970465
74,-0.498655,0.490848,0.989502
75,-0.499971,0.498903,0.998875
76,-0.499324,0.499126,0.99845
77,-0.496715,0.491513,0.988228
78,-0.492154,0.476184,0.968339
79,-0.48566,0.453379,0.93904
80,-0.477258,0.423457,0.900715
81,-0.466981,0.386886,0.853868
82,-0.45487,0.344242,0.799112
83,-0.440971,0.296193,0.737164
84,-0.42534,0.243494,0.668834
85,-0.408038,0.186973,0.595011
86,-0.389133,0.127516,0.516649
87,-0.368699,0.0660576,0.434756
88,-0.346816,0.00356187,0.350378
89,-0.323571,-0.0589898,0.264582
90,-0.299055,-0.120615,0.17844
91,-0.273364,-0.180347,0.0930169
92,-0.246599,-0.237248,0.00935127
93,-0.218865,-0.290424,-0.0715586
94,-0.190272,-0.339041,-0.148769
95,-0.160931,-0.382334,-0.221404
96,-0.130957,-0.419626,-0.288669
97,-0.100469,-0.45033,-0.349861
98,-0.0695866,-0.473964,-0.404377
99,-0.0384305,-0.490157,-0.451726
100,-0.00712355,-0.498655,-0.491531
101,0.0242114,-0.499324,-0.523535
102,0.0554513,-0.492154,-0.547606
103,0.0864733,-0.477258,-0.563732
104,0.117156,-0.45487,-0.572025
105,0.147378,-0.42534,-0.572718
106,0.177021,-0.389133,-0.566153
107,0.205968,-0.346816,-0.552785
108,0.234107,-0.299055,-0.533162
109,0.261325,-0.246599,-0.507924
110,0.287517,-0.190272,-0.477789
111,0.31258,-0.130957,-0.443537
112,0.336414,-0.0695866,-0.406001
113,0.358927,-0.00712355,-0.36605
114,0.380029,0.0554513,-0.324578
115,0.399639,0.117156,-0.282483
116,0.417679,0.177021,-0.240658
117,0.434077,0.234107,-0.199971
118,0.448771,0.287517,-0.161253
119,0.461701,0.336414,-0.125287
120,0.472817,0.380029,-0.0927878
121,0.482076,0.417679,-0.0643974
122,0.489441,0.448771,-0.0406704
123,0.494883,0.472817,-0.0220658
124,0.498381,0.489441,-0.00893989
125,0.499921,0.498381,-0.00153983
126,0.499497,0.499497,0
127,0.49711,0,-0.49711
128,0.49277,0,-0.49277
129,0.486495,0,-0.486495
130,0.478308,0,-0.478308
131,0.468242,0,-0.468242
132,0.456337,0,-0.456337
133,0.442639,0,-0.442639
134,0.427202,0,-0.427202
135,0.410086,0,-0.410086
136,0.39136,0,-0.39136
137,0.371095,0,-0.371095
138,0.349373,0,-0.349373
139,0.326279,0,-0.326279
140,0.301902,0,-0.301902
141,0.27634,0,-0.27634
142,0.249691,0,-0.249691
143,0.222062,0,-0.222062
144,0.193561,0,-0.193561
145,0.164299,0,-0.164299
146,0.134391,0,-0.134391
147,0.103956,0,-0.103956
